Total Questions: 1000
Correct Answers: 752
Wrong Answers: 248
Accuracy: 75.20%

Mismatched Answers:
Q7: Expected=-110.06 | Found=-110.31
Q559: Expected=0.6960035922766054 | Found=0.7072294567
Q566: Expected=1.5 | Found=1.39
Q578: Expected=15.199 | Found=15.28
Q581: Expected=12.01 | Found=11.99
Q589: Expected=-39.336999999999996 | Found=-38.7427
Q595: Expected=-1.445 | Found=-1.3
Q597: Expected=-171.0 | Found=-170.81
Q599: Expected=-170.96278800000002 | Found=-170.81124
Q604: Expected=-0.0845415778251599 | Found=-1.6836886994
Q605: Expected=129.328 | Found=130.078
Q606: Expected=59.7 | Found=59.67
Q610: Expected=20.93 | Found=21.06
Q618: Expected=12.577 | Found=12.717
Q629: Expected=0.5990338164251208 | Found=0.6005434783
Q632: Expected=5.628 | Found=-1.372
Q634: Expected=0.31300000000000017 | Found=0.913
Q638: Expected=11.0 | Found=10.94
Q650: Expected=7.595000000000001 | Found=7.635
Q652: Expected=20.933635480738104 | Found=21.0550339916
Q656: Expected=43.197 | Found=43.2
Q658: Expected=-694.2615242778119 | Found=-694.7971727105
Q659: Expected=1.0839999999999996 | Found=1.114
Q670: Expected=3.963 | Found=0.7926
Q671: Expected=-7.686 | Found=6.65
Q673: Expected=58.14912 | Found=58.039134
Q674: Expected=-790.51 | Found=-789.12
Q675: Expected=2.9 | Found=1.47
Q676: Expected=-817.8739999999999 | Found=-817.784
Q678: Expected=1.5454961133973482 | Found=1.394604481
Q686: Expected=-0.793 | Found=-15.793
Q690: Expected=-1.4450000000000003 | Found=-1.301
Q701: Expected=17.301599999999997 | Found=17.51787
Q704: Expected=119.61 | Found=120.78
Q706: Expected=0.4280000000000004 | Found=0.161
Q714: Expected=7.149 | Found=7.29
Q715: Expected=1.0 | Found=7.0
Q716: Expected=10.1 | Found=10.2
Q718: Expected=64.7 | Found=64.6
Q720: Expected=-3.517 | Found=-3.66
Q725: Expected=39.673439 | Found=39.350178
Q729: Expected=-17.88 | Found=-17.92
Q730: Expected=-108.4482 | Found=-108.39384
Q731: Expected=-2267.6079999999997 | Found=-2269.35
Q734: Expected=41.596 | Found=41.6
Q742: Expected=15.199200000000001 | Found=15.28364
Q751: Expected=17.302 | Found=17.52
Q753: Expected=19.8555 | Found=13.8043
Q768: Expected=-4879.273 | Found=-4879.13
Q769: Expected=1.0 | Found=2.0
Q774: Expected=30.46 | Found=30.57
Q777: Expected=-829.13 | Found=-829.04
Q779: Expected=-111.79710144927536 | Found=-111.884057971
Q801: Expected=-38.312 | Found=-38.26
Q802: Expected=1.0 | Found=16.0
Q804: Expected=-2267.608 | Found=-2269.35
Q805: Expected=-10.538 | Found=-10.678
Q813: Expected=3.553 | Found=3.613
Q815: Expected=7.3532 | Found=7.2939
Q820: Expected=75.67 | Found=75.95
Q821: Expected=10.139807999999999 | Found=9.14508
Q825: Expected=10.68 | Found=10.71
Q829: Expected=22.727 | Found=16.627
Q841: Expected=-15.586 | Found=-6.407
Q844: Expected=126.3 | Found=127.543
Q846: Expected=-3864.1077299999997 | Found=-3864.09912
Q852: Expected=6.2 | Found=6.15
Q854: Expected=43.067 | Found=42.467
Q856: Expected=5.903999999999556 | Found=6.194
Q857: Expected=-108.4 | Found=-108.39
Q860: Expected=1.2900107411385606 | Found=1.3116464631
Q862: Expected=-4879.273203140729 | Found=-4879.131266358
Q863: Expected=-9.95 | Found=-10.168
Q875: Expected=1.5 | Found=1.39
Q879: Expected=4.370000000000001 | Found=4.4
Q880: Expected=-1.7040000000000002 | Found=1.4664
Q881: Expected=-838.7 | Found=-838.61
Q882: Expected=10.212 | Found=9.212
Q888: Expected=7.806843105717209 | Found=7.7191109811
Q889: Expected=5.716000000000048 | Found=2.288
Q898: Expected=675.58176 | Found=678.0816
Q908: Expected=-39.9 | Found=-39.88
Q912: Expected=126.3005 | Found=127.5428
Q914: Expected=5.9 | Found=6.19
Q915: Expected=-31.105 | Found=-31.05
Q920: Expected=2.3458918249380676 | Found=1.7162469034
Q922: Expected=-1.0 | Found=-2.0
Q923: Expected=7.149 | Found=7.29
Q924: Expected=-3412.776 | Found=-3413.066
Q925: Expected=9.4 | Found=9.32
Q926: Expected=-3.894 | Found=-3.9
Q933: Expected=-5535.079 | Found=-5534.92
Q944: Expected=7.241 | Found=7.182
Q946: Expected=16.224 | Found=16.164
Q953: Expected=0.4070000000000036 | Found=1.577
Q954: Expected=15.46 | Found=9.36
Q960: Expected=3420.6957 | Found=3420.98505
Q966: Expected=176.287 | Found=176.34
Q967: Expected=21.918999999999997 | Found=12.7384
Q979: Expected=-14.9 | Found=-8.8
Q984: Expected=-110.7 | Found=-110.61
Q985: Expected=-102.934 | Found=-102.844
Q986: Expected=-110.06051199999999 | Found=-110.31188
Q989: Expected=20.4 | Found=20.36
Q994: Expected=30.4992 | Found=30.75336
Q996: Expected=13.62 | Found=13.76
Q997: Expected=4.9 | Found=4.89

Total Questions: 1000
Correct Answers: 752
Wrong Answers: 248
Accuracy: 75.20%
