Question Number,Answer
384,297.00
385,142.833
386,519.208
387,979.352
388,-886.654
389,4.11
390,66.67
391,796.00
392,1.400
393,0.520
394,24.430
395,-213.307
396,885.802
397,276.000
398,1704.519
399,97
400,99.638
401,98.918
402,0.750
403,22.456
404,-594.030
405,1183.830
406,0.080
407,265.00
408,0.460
409,1.000
410,351
411,382.0
412,29.697
413,415.095
414,856.586
415,-312.316
416,362.990
417,2.1
418,23
419,203.955
420,8.842
421,18.000
422,707.00
423,0.594
424,1.32
425,2928.450
426,946.741
427,19.9
428,5.748
429,170
430,-427.199
431,64.000
432,583
433,-95.382
434,511.0
435,910
436,749.000
437,0.120
438,0.500
439,0.310
440,323.0
441,-369.598
442,1656.175
443,413.000
444,108.679
445,803.0
446,-720.319
447,0.356
448,26.881
449,0.550
450,1.710
451,125.276
452,0.390
453,0.200
454,10
455,4601.000
456,348
457,5054.020
458,144.902
459,747.00
460,0.620
461,367.0
462,81.799
463,227.0
464,-545.465
465,30.000
466,598.000
467,100.067
468,198.051
469,3306.834
470,1.04
471,25.64
472,0.240
473,-967.740
474,293
475,997.406
476,240
477,307.00
478,242
479,1478.068
480,-437.562
481,347.598
482,11.349
483,416.0
484,0.300
485,3.790
486,231
487,675.58
488,490.0
489,629
490,51.818
491,999.0
492,5.25
493,-320.822
494,1.04
495,94.0
496,596.00
497,225.503
498,68.620
499,650.796
500,4.9
501,751.510
502,-758.364
503,0.74
504,4294.500
505,579.000
506,-349.479
507,627.721
508,-14.885
509,-540.881
510,0.100
511,4668.084
512,993
513,613.000
514,3312.416
515,-741.290
516,673.000
517,-757.144
518,58.50
519,959.477
520,8.1
521,425.000
522,880.00
523,668.969
524,408
525,169
526,75.670
527,3.660
528,994.0
529,702.000
530,-932.664
531,-4.515
532,2026.346
533,-674.248
534,1583.414
535,669.117
536,5595.336
537,151.00
538,61
539,302
540,0.360
541,50.161
542,550.0
543,0.640
544,6.12
545,87.418
546,828.672
547,1
548,70.827
549,-130.238
550,10.718
551,2959.125
552,676.000
553,3478.152
554,1
555,0.850
556,1431.842
557,354.00
558,948.274
559,70.319
560,699.0
561,1
562,116.000
563,-761.038
564,8597.820
565,140.288
566,1.4
567,644.000
568,-269.351
569,192.323
570,399.150
571,5.658
572,469.000
573,483.282
574,0.110
575,2905.184
576,645
577,648.000
578,742.000
579,106.157
580,174.750
581,412.000
582,845.647
583,-627.203
584,692
585,200.223
586,-538.584
587,1.63
588,109.914
589,471.140
590,5671.200
591,585
592,0.410
593,22.727
594,-522.496
595,690.000
596,1971.000
597,599.0
598,3564.864
599,218.838
600,792.00
601,15.153
602,-678.579
603,0.060
604,72.930
605,532.248
606,590.0
607,80.000
608,76.774
609,5.367
610,86.15
611,110.682
612,444
613,149.652
614,1.3
615,0.879
616,0.390
617,916.00
618,-802.961
619,937.598
620,76.112
621,995.000
622,27.297
623,1
624,191.00
625,3238.490
626,19.834
627,49.489
628,0.760
629,67.361
630,40.422
631,1.04
632,-479.372
633,610.135
634,-377.387
635,161
636,-615.009
637,108
638,357.0
639,0.390
640,0.858
641,0.510
642,32.862
643,6936.828
644,1222.215
645,90.805
646,-947.303
647,895.335
648,42.556
649,178.428
650,6.095
651,51.889
652,86.152
653,643.000
654,113
655,0.106
656,669.000
657,364.0
658,133.688
659,0.710
660,697
661,545.00
662,8.891
663,1.632
664,565
665,34
666,-155.211
667,63.243
668,1242.149
669,2710.570
670,1188.963
671,119.000
672,0.170
673,23.910
674,272.00
675,292.0
676,277.575
677,73.914
678,30.945
679,187.406
680,304.643
681,-808.856
682,952.000
683,890.0
684,766.0
685,395.455
686,-801.793
687,0.030
688,886
689,608.0
690,-201.861
691,0.400
692,0.120
693,480
694,462.160
695,4.651
696,0.280
697,97.000
698,868.0
699,-603.963
700,-907.825
701,4613.208
702,220.500
703,738.00
704,3.66
705,0.790
706,0.840
707,62.500
708,717.0
709,34.831
710,147
711,-224.040
712,2.45
713,2285.810
714,229.000
715,281
716,970.0
717,1895.080
718,237.0
719,363.520
720,358.000
721,282.000
722,-687.626
723,-456.850
724,178.000
725,5166.790
726,851
727,0.170
728,15.00
729,149.00
730,2457.180
731,-436.180
732,1672.090
733,70.569
734,65.000
735,779.0
736,-770.550
737,3502.236
738,-266.096
739,0.388
740,0.602
741,0.590
742,1591.484
743,679.172
744,835.00
745,983
746,0.460
747,50.170
748,620
749,0.150
750,874
751,701.000
752,0.150
753,19.856
754,-231.302
755,0.070
756,2.5
757,192.224
758,319.0
759,0.460
760,2.50
761,831.730
762,98.00
763,-700.521
764,627
765,0.130
766,-759.142
767,1254.738
768,862.000
769,2
770,1.32
771,650.00
772,813.647
773,807.000
774,497.00
775,533.00
776,385.00
777,890.570
778,582.000
779,4.992
780,196
781,666.00
782,-123.388
783,706
784,630.0
785,853.515
786,0.740
787,95.000
788,28.560
789,-159.962
790,216.352
791,948.850
792,216.111
793,464.886
794,0.510
795,901.00
796,0.040
797,622
798,-354.498
799,25.644
800,-293.691
801,166.000
802,60
803,140.899
804,731.000
805,-470.512
806,0.410
807,603.914
808,4.321
809,0.100
810,-914.986
811,102.344
812,0.610
813,0.430
814,1
815,954.160
816,636.724
817,387.000
818,42.000
819,3846.742
820,75.670
821,9.145
822,0.160
823,188.537
824,181
825,39.00
826,560.749
827,8.261
828,53.491
829,22.727
830,401.00
831,7389.493
832,1171.140
833,634
834,-893.277
835,64.239
836,329.719
837,646.713
838,433.000
839,4.463
840,0.60
841,-82.667
842,0.886
843,403.0
844,912.000
845,7.640
846,6484.140
847,10.218
848,3.865
849,6.474
850,0.742
851,210.273
852,949.0
853,846.00
854,-273.273
855,109.496
856,0.310
857,730.0
858,-690.080
859,677
860,53.308
861,0.150
862,45.685
863,-743.648
864,30.94
865,-193.499
866,909.502
867,-416.902
868,42.878
869,685
870,-506.718
871,2.904
872,709
873,3745.550
874,208.559
875,1.4
876,-138.152
877,39.600
878,532.00
879,1.3
880,-667.741
881,77.0
882,9.212
883,548
884,732.00
885,0.220
886,77.419
887,977
888,37.647
889,5.716
890,18.085
891,39.138
892,4.108
893,0.320
894,290
895,394
896,-149.300
897,5152.725
898,675.582
899,646.00
900,1
901,-956.240
902,980.000
903,130.00
904,1.60
905,6.1
906,23.000
907,2.512
908,168.0
909,-423.645
910,50.990
911,415
912,2186.141
913,0.477
914,856.0
915,556.000
916,3087.857
917,-236.486
918,273.379
919,88.000
920,86.012
921,-341.918
922,604
923,0.860
924,-171.076
925,5.7
926,289.000
927,864.660
928,-58.104
929,56.884
930,559
931,229.957
932,150
933,311.000
934,0.610
935,124.837
936,823.00
937,1
938,0.350
939,831.0
940,793.579
941,879.524
942,448
943,-553.599
944,-195.328
945,4.463
946,643.224
947,0.090
948,0.260
949,347.953
950,1
951,1.000
952,64.622
953,1.383
954,15.46
955,528.467
956,322.588
957,211.000
958,705
959,-974.216
960,2818.787
961,5293.056
962,6.803
963,299
964,639
965,179.849
966,398.000
967,507.301
968,-225.795
969,126.923
970,449.620
971,327
972,-292.710
973,0.710
974,1.659
975,72.0
976,406.00
977,82.308
978,-98.780
979,-14.9
980,351.396
981,1.659
982,921.00
983,0.310
984,331.00
985,-20.725
986,2396.632
987,1698.539
988,800.00
989,867.0
990,-60.513
991,3204.440
992,87
993,20.065
994,5583.472
995,0.120
996,514.00
997,303.0
998,6.80
999,239.460
1000,720.280
